序号,标准号,是否采标,标准名称,状态,发布日期,实施日期
1,GB 25502-2024,,坐便器水效限定值及水效等级,现行,2024-10-28 00:00:00.0,2025-05-01 00:00:00.0
2,GB 44023-2024,,燃气用具连接内用橡胶复合软管,现行,2024-04-29 00:00:00.0,2024-08-01 00:00:00.0
3,GB 44017-2024,,燃气用具连接用金属包覆软管,现行,2024-04-29 00:00:00.0,2024-08-01 00:00:00.0
4,GB 44016-2024,,电磁式燃气紧急切断阀,现行,2024-04-29 00:00:00.0,2024-08-01 00:00:00.0
5,GB 35848-2024,,商用燃气燃烧器具,现行,2024-04-29 00:00:00.0,2024-08-01 00:00:00.0
6,GB 41317-2024,,燃气用具连接用不锈钢波纹软管,现行,2024-04-29 00:00:00.0,2024-08-01 00:00:00.0
7,GB 175-2023,,通用硅酸盐水泥,现行,2023-11-27 00:00:00.0,2024-06-01 00:00:00.0
8,GB 28379-2022,,便器冲洗阀水效限定值及水效等级,现行,2022-12-29 00:00:00.0,2023-07-01 00:00:00.0
9,GB 34914-2021,,净水机水效限定值及水效等级,现行,2021-12-01 00:00:00.0,2022-07-01 00:00:00.0
10,GB 18111-2021,,燃气容积式热水器,现行,2021-08-10 00:00:00.0,2022-09-01 00:00:00.0
11,GB 27790-2020,,城镇燃气调压器,现行,2020-11-17 00:00:00.0,2021-12-01 00:00:00.0
12,GB 27791-2020,,城镇燃气调压箱,现行,2020-11-17 00:00:00.0,2021-12-01 00:00:00.0
13,GB 25034-2020,,燃气采暖热水炉,现行,2020-10-11 00:00:00.0,2021-11-01 00:00:00.0
14,GB 25501-2019,,水嘴水效限定值及水效等级,现行,2019-12-31 00:00:00.0,2021-01-01 00:00:00.0
15,GB 28377-2019,,小便器水效限定值及水效等级,现行,2019-12-31 00:00:00.0,2021-01-01 00:00:00.0
16,GB 28378-2019,,淋浴器水效限定值及水效等级,现行,2019-12-31 00:00:00.0,2021-01-01 00:00:00.0
17,GB 30717-2019,,蹲便器水效限定值及水效等级,现行,2019-12-31 00:00:00.0,2021-01-01 00:00:00.0
18,GB 35844-2018,,瓶装液化石油气调压器,现行,2018-02-06 00:00:00.0,2019-03-01 00:00:00.0
19,GB 17740-2017,,地震震级的规定,现行,2017-05-12 00:00:00.0,2017-12-01 00:00:00.0
20,GB 31893-2015,,水泥中水溶性铬（Ⅵ）的限量及测定方法,现行,2015-09-11 00:00:00.0,2016-10-01 00:00:00.0
21,GB 18306-2015,,中国地震动参数区划图,现行,2015-05-15 00:00:00.0,2016-06-01 00:00:00.0
22,GB 31040-2014,,混凝土外加剂中残留甲醛的限量,现行,2014-12-05 00:00:00.0,2015-12-01 00:00:00.0
23,GB 18145-2014,,陶瓷片密封水嘴,现行,2014-05-06 00:00:00.0,2014-12-01 00:00:00.0
24,GB 29550-2013,,民用建筑燃气安全技术条件,现行,2013-07-19 00:00:00.0,2014-05-01 00:00:00.0
25,GB 16914-2012,采,燃气燃烧器具安全技术条件,现行,2012-12-31 00:00:00.0,2013-11-01 00:00:00.0
26,GB 18445-2012,,水泥基渗透结晶型防水材料,现行,2012-12-31 00:00:00.0,2013-11-01 00:00:00.0
27,GB 28395-2012,采,混凝土及灰浆输送、喷射、浇注机械  安全要求,现行,2012-05-11 00:00:00.0,2013-03-01 00:00:00.0
28,GB 12952-2011,采,聚氯乙烯（PVC）防水卷材,现行,2011-12-30 00:00:00.0,2012-12-01 00:00:00.0
29,GB 27789-2011,采,热塑性聚烯烃(TPO)防水卷材,现行,2011-12-30 00:00:00.0,2012-11-01 00:00:00.0
30,GB 16899-2011,采,自动扶梯和自动人行道的制造与安装安全规范,现行,2011-07-29 00:00:00.0,2011-07-29 00:00:00.0
31,GB 26545-2011,采,建筑施工机械与设备  钻孔设备安全规范,现行,2011-06-16 00:00:00.0,2012-05-01 00:00:00.0
32,GB 26504-2011,采,移动式道路施工机械  通用安全要求,现行,2011-05-12 00:00:00.0,2012-04-01 00:00:00.0
33,GB 26505-2011,采,移动式道路施工机械  摊铺机安全要求,现行,2011-05-12 00:00:00.0,2012-04-01 00:00:00.0
34,GB 21551.6-2010,,家用和类似用途电器的抗菌、除菌、净化功能  空调器的特殊要求,现行,2011-01-14 00:00:00.0,2011-09-15 00:00:00.0
35,GB 25194-2010,采,杂物电梯制造与安装安全规范,现行,2010-09-26 00:00:00.0,2011-06-01 00:00:00.0
36,GB 24910-2010,,钢板冲压扣件,现行,2010-08-09 00:00:00.0,2011-06-01 00:00:00.0
